IBOV Index Members;IBOV Index Weight;IBX Index Members;IBX Index Weight;IBX50 Index Members;IBX50 Index Weight
ALLL3 BS Equity;0,2842616;GETI4 BS Equity;0,228568;ABEV3 BS Equity;8,029921
ABEV3 BS Equity;7,812477;ALLL3 BS Equity;0,2596289;BBDC3 BS Equity;2,27955
BBDC3 BS Equity;1,858082;ABEV3 BS Equity;7,135488;BBDC4 BS Equity;8,657496
BBDC4 BS Equity;8,423057;ARTR3 BS Equity;0,1499326;BBAS3 BS Equity;2,652401
BBAS3 BS Equity;2,580576;BTOW3 BS Equity;0,1596295;SANB11 BS Equity;0,6484148
SANB11 BS Equity;0,6308563;BBDC3 BS Equity;2,025637;BBSE3 BS Equity;2,446435
BBSE3 BS Equity;2,380188;BBDC4 BS Equity;7,693159;BVMF3 BS Equity;2,090016
BVMF3 BS Equity;2,03342;BBAS3 BS Equity;2,356957;BRML3 BS Equity;0,9153743
BRML3 BS Equity;0,8905867;BRSR6 BS Equity;0,2503488;BRPR3 BS Equity;0,3525671
BRPR3 BS Equity;0,3430198;SANB11 BS Equity;0,5761895;BRAP4 BS Equity;0,3622287
BRAP4 BS Equity;0,3524198;BBSE3 BS Equity;2,173933;BRFS3 BS Equity;6,015661
BRKM5 BS Equity;0,5374958;BVMF3 BS Equity;1,857214;CCRO3 BS Equity;1,641228
BRFS3 BS Equity;4,427458;BRML3 BS Equity;0,8134131;CTIP3 BS Equity;0,9106625
CCRO3 BS Equity;1,596785;BRPR3 BS Equity;0,3132955;PCAR4 BS Equity;1,81597
ELET3 BS Equity;0,1413005;BRAP4 BS Equity;0,3218809;SBSP3 BS Equity;0,7051256
ELET6 BS Equity;0,1781828;BRKM5 BS Equity;0,4909192;CMIG4 BS Equity;1,153679
CTIP3 BS Equity;0,8860025;BRFS3 BS Equity;5,345592;HGTX3 BS Equity;0,3366628
PCAR4 BS Equity;1,766795;CCRO3 BS Equity;1,458416;CSNA3 BS Equity;0,4593284
SBSP3 BS Equity;0,6860313;ELET3 BS Equity;0,1290561;CIEL3 BS Equity;3,155759
CMIG4 BS Equity;1,122438;ELET6 BS Equity;0,1627424;RLOG3 BS Equity;0,04093466
CESP6 BS Equity;0,4939986;CTIP3 BS Equity;0,8092261;CSAN3 BS Equity;0,3763157
HGTX3 BS Equity;0,3275463;PCAR4 BS Equity;1,613694;CYRE3 BS Equity;0,3433648
CPLE6 BS Equity;0,3743043;SBSP3 BS Equity;0,6265834;EMBR3 BS Equity;1,870594
CSNA3 BS Equity;0,4468902;CMIG4 BS Equity;1,025173;ESTC3 BS Equity;0,9340436
CIEL3 BS Equity;3,070303;CESP6 BS Equity;0,4511912;FIBR3 BS Equity;0,7399582
RLOG3 BS Equity;0,03982618;HGTX3 BS Equity;0,2991628;GFSA3 BS Equity;0,117716
CSAN3 BS Equity;0,3661254;CPLE6 BS Equity;0,341869;GGBR4 BS Equity;1,030989
CPFE3 BS Equity;0,6071788;CSNA3 BS Equity;0,408165;HYPE3 BS Equity;0,6970474
CYRE3 BS Equity;0,3340667;CIEL3 BS Equity;2,804247;ITUB4 BS Equity;11,17045
DTEX3 BS Equity;0,2298551;RLOG3 BS Equity;0,03637505;ITSA4 BS Equity;3,52503
ECOR3 BS Equity;0,2306402;CSAN3 BS Equity;0,3343988;JBSS3 BS Equity;2,142517
ENBR3 BS Equity;0,2467702;CPFE3 BS Equity;0,5545638;KLBN11 BS Equity;0,5767765
ELPL4 BS Equity;0,0902987;CYRE3 BS Equity;0,3051183;KROT3 BS Equity;3,127373
EMBR3 BS Equity;1,81994;DTEX3 BS Equity;0,2099371;RENT3 BS Equity;0,5635696
ESTC3 BS Equity;0,9087504;ECOR3 BS Equity;0,2106542;LAME4 BS Equity;0,7820382
EVEN3 BS Equity;0,1281266;ENBR3 BS Equity;0,2253863;LREN3 BS Equity;1,038367
FIBR3 BS Equity;0,7199207;ELPL4 BS Equity;0,08247388;MRVE3 BS Equity;0,2585246
GFSA3 BS Equity;0,1145283;EMBR3 BS Equity;1,662233;NATU3 BS Equity;0,6428755
GGBR4 BS Equity;1,003071;ENEV3 BS Equity;0,01559676;OIBR4 BS Equity;0,4800607
GOLL4 BS Equity;0,1668057;EQTL3 BS Equity;0,4093414;PDGR3 BS Equity;0,1558355
HYPE3 BS Equity;0,6781719;ESTC3 BS Equity;0,8300028;PETR3 BS Equity;3,552887
ITUB4 BS Equity;10,86796;EVEN3 BS Equity;0,1170238;PETR4 BS Equity;5,579457
ITSA4 BS Equity;3,429575;EZTC3 BS Equity;0,1079353;QUAL3 BS Equity;0,648262
JBSS3 BS Equity;2,084499;FIBR3 BS Equity;0,6575362;CRUZ3 BS Equity;0,8367642
KLBN11 BS Equity;0,5611578;GFSA3 BS Equity;0,1046039;SUZB5 BS Equity;0,5394696
KROT3 BS Equity;3,042686;GGBR4 BS Equity;0,91615;VIVT4 BS Equity;1,481409
LIGT3 BS Equity;0,2111511;GOLL4 BS Equity;0,1523511;TIMP3 BS Equity;1,082731
RENT3 BS Equity;0,5483086;HRTP3 BS Equity;0,02112211;UGPA3 BS Equity;3,234073
LAME4 BS Equity;0,7608613;HYPE3 BS Equity;0,6194051;USIM5 BS Equity;0,2702791
LREN3 BS Equity;1,010248;IGTA3 BS Equity;0,2072075;VALE3 BS Equity;3,176666
POMO4 BS Equity;0,2341633;ITUB4 BS Equity;9,926198;VALE5 BS Equity;4,056762
MRFG3 BS Equity;0,2383549;ITSA4 BS Equity;3,132386;;#N/A N/A
GOAU4 BS Equity;0,3664669;JBSS3 BS Equity;1,903867;;#N/A N/A
MRVE3 BS Equity;0,2515239;KLBN11 BS Equity;0,5125308;;#N/A N/A
NATU3 BS Equity;0,6254669;KROT3 BS Equity;2,779022;;#N/A N/A
OIBR4 BS Equity;0,4670611;LIGT3 BS Equity;0,1928539;;#N/A N/A
PDGR3 BS Equity;0,1516156;RENT3 BS Equity;0,500795;;#N/A N/A
PETR3 BS Equity;3,456678;LAME4 BS Equity;0,694929;;#N/A N/A
PETR4 BS Equity;5,428369;LREN3 BS Equity;0,9227056;;#N/A N/A
QUAL3 BS Equity;0,6307076;MDIA3 BS Equity;0,2710855;;#N/A N/A
RSID3 BS Equity;0,1456676;MGLU3 BS Equity;0,04150238;;#N/A N/A
CRUZ3 BS Equity;0,8141052;POMO4 BS Equity;0,2138719;;#N/A N/A
SUZB5 BS Equity;0,5248612;MRFG3 BS Equity;0,2177003;;#N/A N/A
VIVT4 BS Equity;1,441293;GOAU4 BS Equity;0,3347107;;#N/A N/A
TIMP3 BS Equity;1,053412;MILS3 BS Equity;0,08006191;;#N/A N/A
TBLE3 BS Equity;0,742625;BEEF3 BS Equity;0,1070086;;#N/A N/A
UGPA3 BS Equity;2,459026;MMXM3 BS Equity;0,004758203;;#N/A N/A
USIM5 BS Equity;0,2629602;MRVE3 BS Equity;0,2297282;;#N/A N/A
VALE3 BS Equity;3,090644;MULT3 BS Equity;0,3735429;;#N/A N/A
VALE5 BS Equity;3,946908;MPLU3 BS Equity;0,1464271;;#N/A N/A
;#N/A N/A;NATU3 BS Equity;0,5712672;;#N/A N/A
;#N/A N/A;ODPV3 BS Equity;0,2440289;;#N/A N/A
;#N/A N/A;OIBR3 BS Equity;0,1805393;;#N/A N/A
;#N/A N/A;OIBR4 BS Equity;0,426588;;#N/A N/A
;#N/A N/A;PDGR3 BS Equity;0,1384774;;#N/A N/A
;#N/A N/A;PETR3 BS Equity;3,15714;;#N/A N/A
;#N/A N/A;PETR4 BS Equity;4,957975;;#N/A N/A
;#N/A N/A;PSSA3 BS Equity;0,2815171;;#N/A N/A
;#N/A N/A;PRML3 BS Equity;0,04344194;;#N/A N/A
;#N/A N/A;QGEP3 BS Equity;0,0548146;;#N/A N/A
;#N/A N/A;QUAL3 BS Equity;0,5760537;;#N/A N/A
;#N/A N/A;RADL3 BS Equity;0,4495274;;#N/A N/A
;#N/A N/A;RAPT4 BS Equity;0,08459463;;#N/A N/A
;#N/A N/A;RSID3 BS Equity;0,1330448;;#N/A N/A
;#N/A N/A;SMLE3 BS Equity;0,2520622;;#N/A N/A
;#N/A N/A;CRUZ3 BS Equity;0,7435591;;#N/A N/A
;#N/A N/A;SULA11 BS Equity;0,2920172;;#N/A N/A
;#N/A N/A;SUZB5 BS Equity;0,4793795;;#N/A N/A
;#N/A N/A;VIVT4 BS Equity;1,316398;;#N/A N/A
;#N/A N/A;TIMP3 BS Equity;0,9621284;;#N/A N/A
;#N/A N/A;TOTS3 BS Equity;0,4578321;;#N/A N/A
;#N/A N/A;TBLE3 BS Equity;0,678273;;#N/A N/A
;#N/A N/A;TAEE11 BS Equity;0,1748191;;#N/A N/A
;#N/A N/A;UGPA3 BS Equity;2,873838;;#N/A N/A
;#N/A N/A;USIM5 BS Equity;0,2401734;;#N/A N/A
;#N/A N/A;VALE3 BS Equity;2,822825;;#N/A N/A
;#N/A N/A;VALE5 BS Equity;3,60489;;#N/A N/A
;#N/A N/A;VLID3 BS Equity;0,2078669;;#N/A N/A
;#N/A N/A;VVAR11 BS Equity;0,2854399;;#N/A N/A
;#N/A N/A;WEGE3 BS Equity;0,8291879;;#N/A N/A
