"conta";"sexo";"idade";"cartao";"status_loan";"loan_am";"trans_sum";"avg_sal";"unemp_r";"entrep_no"
97;"M";56;"classic";"A";102876;464438;10673;1,14526315789474;100
105;"F";48;"classic";"C";352704;335866;9104;1,37086092715232;123
110;"M";45;"classic";"C";162576;618758;9198;1,28528528528529;131
132;"F";53;"classic";"A";88440;769228;9317;1,08936825885978;97
226;"F";54;"classic";"C";109344;536838;10177;1,16892911010558;81
276;"M";27;"classic";"C";160920;684890;8965;1,16242937853107;104
303;"F";42;"classic";"C";112752;413199;8678;0,93929173693086;102
339;"F";51;"classic";"C";468060;1229565;8369;1,29050279329609;117
544;"M";56;"classic";"A";91152;635330;9272;1,15;118
666;"F";58;"classic";"A";12540;397255;8561;1,98461538461538;110
675;"F";53;"classic";"C";102240;316168;8757;1,16863905325444;96
718;"F";42;"classic";"A";76944;1546279;12541;1,48275862068966;167
790;"M";47;"classic";"B";208128;354022;9897;1,225;140
825;"M";50;"classic";"A";53076;442490;8402;1,27156549520767;120
846;"F";21;"classic";"A";187104;1258061;8994;1,26052631578947;110
940;"F";40;"gold";"C";284280;975623;9065;1,2085201793722;123
960;"F";40;"classic";"C";189060;1111660;9753;1,08836206896552;109
993;"F";32;"classic";"C";108720;975725;8546;1,36271186440678;126
1480;"F";53;"classic";"C";123300;972190;9832;1,34939759036145;114
1580;"M";30;"classic";"C";194256;457882;8173;NA;124
1698;"F";48;"classic";"C";141948;508312;9893;1,15403422982885;96
1766;"M";47;"classic";"C";30060;500612;8594;1,24074074074074;112
1843;"F";58;"classic";"A";105804;498611;10045;1,20422535211268;135
1862;"F";48;"classic";"C";396120;1017567;8402;1,27156549520767;120
1869;"F";32;"classic";"C";37944;653125;12541;1,48275862068966;167
1876;"M";19;"junior";"C";209040;499466;12541;1,48275862068966;167
2000;"M";61;"classic";"C";290820;494640;9307;1,15064935064935;118
2051;"F";23;"gold";"D";293880;1626734;9624;1,44375;145
2062;"F";58;"classic";"A";86184;1131441;10177;1,16892911010558;81
2080;"M";61;"classic";"C";214596;1255985;10673;1,14526315789474;100
2116;"F";24;"classic";"A";92400;487052;10177;1,16892911010558;81
2143;"F";18;"junior";"C";71460;595768;12541;1,48275862068966;167
2153;"M";55;"classic";"A";61560;758324;8930;1,19318181818182;108
2167;"F";33;"classic";"A";170256;639328;8427;1,375;107
2218;"F";47;"classic";"C";182040;1095981;8402;1,27156549520767;120
2227;"F";28;"classic";"A";92976;1511168;8930;1,19318181818182;108
2262;"M";48;"classic";"C";230220;1798948;8598;1,17689530685921;123
2279;"M";24;"classic";"C";314688;995772;8507;1,10778443113772;132
2350;"F";25;"classic";"C";159744;1275989;8968;1,18374558303887;131
2699;"F";20;"junior";"C";231168;1159503;8746;1,12312312312312;90
2725;"M";51;"classic";"C";69624;516071;8363;1,38492063492063;108
2824;"F";51;"gold";"C";50460;406753;9622;1,31111111111111;154
2910;"F";45;"classic";"C";437460;1157141;9893;1,15403422982885;96
2912;"M";49;"classic";"C";380160;1440879;10673;1,14526315789474;100
2982;"M";60;"gold";"C";41256;1277584;8402;1,27156549520767;120
2986;"M";40;"classic";"C";24792;577633;8288;1,19261213720317;110
2994;"F";34;"classic";"C";48744;517270;8909;1,38653366583541;113
3050;"M";26;"classic";"A";82896;1053541;8208;1,1957671957672;155
3112;"F";21;"junior";"C";123216;443283;8965;1,16242937853107;104
3166;"M";26;"classic";"D";177744;1052088;8444;1,07098765432099;106
3229;"M";62;"classic";"A";39024;620727;9624;1,44375;145
3293;"F";34;"classic";"C";276084;1184317;12541;1,48275862068966;167
3664;"M";22;"classic";"C";271584;882382;12541;1,48275862068966;167
4099;"F";38;"classic";"C";41856;455695;9897;1,225;140
4337;"M";49;"classic";"A";51408;1009374;8843;1,27659574468085;113
4342;"F";50;"classic";"C";100128;1158289;10673;1,14526315789474;100
4354;"F";56;"classic";"C";327660;806870;8965;1,16242937853107;104
4361;"F";52;"gold";"A";90156;1223088;8173;NA;124
4423;"F";31;"classic";"A";73836;1575318;10446;1,28065395095368;90
4448;"F";27;"classic";"A";192744;486365;8441;1,29855072463768;115
4456;"M";28;"classic";"C";321240;475930;10045;1,20422535211268;135
4503;"M";23;"junior";"C";135360;956348;8187;1,12836438923395;94
4533;"F";54;"classic";"C";81144;1653385;9893;1,15403422982885;96
4580;"F";25;"classic";"A";20220;1473118;8899;1,17109144542773;149
4585;"M";51;"classic";"C";64656;349926;8561;1,98461538461538;110
4616;"M";22;"classic";"C";66696;1588006;12541;1,48275862068966;167
4631;"M";47;"classic";"C";87528;577636;8909;1,38653366583541;113
4715;"F";43;"classic";"C";97176;1198875;11277;1,152;127
4746;"M";45;"classic";"C";204780;1210705;9897;1,225;140
4863;"F";19;"junior";"A";76080;1026111;9307;1,15064935064935;118
4894;"M";63;"classic";"A";117024;817076;10045;1,20422535211268;135
4949;"F";54;"gold";"C";289920;979274;8705;1,32347826086957;116
4999;"F";40;"classic";"C";165168;871287;12541;1,48275862068966;167
5120;"F";58;"classic";"A";323472;1096755;12541;1,48275862068966;167
5133;"M";55;"classic";"C";57060;1261366;9893;1,15403422982885;96
5180;"F";52;"classic";"C";58764;792861;9897;1,225;140
5196;"M";42;"classic";"A";79824;1241356;8598;1,17689530685921;123
5213;"M";62;"classic";"D";320976;1173797;12541;1,48275862068966;167
5215;"F";49;"classic";"A";14628;415991;8743;1,29255319148936;111
5442;"F";20;"junior";"B";174744;1289883;9307;1,15064935064935;118
5477;"M";44;"classic";"C";349392;1439358;8720;1,20643431635389;116
5593;"M";36;"classic";"A";44376;1522885;9045;1,15015974440895;124
5602;"M";54;"classic";"C";177504;1188987;8402;1,27156549520767;120
5622;"M";19;"junior";"A";83016;467689;8720;1,20643431635389;116
5891;"M";41;"gold";"A";65184;946574;8980;1,13333333333333;111
5944;"F";54;"classic";"C";78720;560003;8561;1,98461538461538;110
5952;"M";36;"classic";"A";141240;921876;8187;1,12836438923395;94
6030;"F";28;"gold";"A";28248;548230;9538;1,19867549668874;111
6062;"M";23;"classic";"C";321360;1033751;8991;1,44604316546763;128
6148;"M";40;"classic";"A";59760;596488;10673;1,14526315789474;100
6157;"F";56;"classic";"C";247920;1713261;9675;1,19440124416796;100
6265;"M";61;"classic";"C";87360;524686;9307;1,15064935064935;118
6273;"M";36;"classic";"A";87360;874691;8965;1,16242937853107;104
6353;"M";45;"classic";"C";79920;638953;10787;1,17045454545455;131
6363;"M";52;"gold";"A";17508;335960;8754;1,12532637075718;137
6461;"F";23;"classic";"C";150912;890490;8187;1,12836438923395;94
6505;"F";34;"classic";"C";38496;328299;9920;1,26991150442478;130
6510;"M";33;"classic";"C";76992;487357;10673;1,14526315789474;100
6592;"F";20;"junior";"C";390660;1537226;12541;1,48275862068966;167
6649;"M";31;"classic";"C";100260;581951;12541;1,48275862068966;167
6924;"M";19;"junior";"C";194880;643489;10673;1,14526315789474;100
6930;"F";38;"classic";"A";25944;626267;9832;1,34939759036145;114
6950;"F";32;"classic";"C";475680;680993;9198;1,28528528528529;131
7045;"M";55;"classic";"C";288720;967329;8541;1,18326693227092;131
7049;"F";19;"junior";"C";495180;1288550;8173;NA;124
7156;"F";57;"classic";"C";49488;621442;8678;0,93929173693086;102
7614;"F";28;"classic";"C";320592;1054815;8544;1,44186046511628;109
7637;"M";20;"junior";"C";390096;640869;8369;1,29050279329609;117
7721;"F";51;"classic";"C";45456;605591;8598;1,17689530685921;123
7733;"F";48;"classic";"C";140064;1131251;8402;1,27156549520767;120
7745;"F";56;"classic";"C";77544;1336857;8507;1,10778443113772;132
7753;"F";30;"classic";"A";51696;1573756;10673;1,14526315789474;100
7795;"M";53;"gold";"C";372120;1457662;9624;1,44375;145
7859;"F";46;"gold";"A";72120;892015;8363;1,38492063492063;108
7861;"M";44;"classic";"A";21852;485559;9675;1,19440124416796;100
7894;"M";29;"classic";"C";153144;720568;8561;1,98461538461538;110
7957;"M";34;"classic";"A";42900;921844;8541;1,18326693227092;131
8026;"M";56;"classic";"C";128268;615476;9198;1,28528528528529;131
8038;"F";31;"classic";"C";35856;575518;9538;1,19867549668874;111
8039;"M";26;"classic";"A";93600;791061;8899;1,17109144542773;149
8041;"M";57;"classic";"A";140400;727242;10673;1,14526315789474;100
8127;"F";30;"classic";"A";155880;1183319;9065;1,2085201793722;123
8129;"M";33;"classic";"A";74736;529384;8390;1,26754385964912;132
8173;"F";22;"junior";"A";80340;1035683;12541;1,48275862068966;167
8260;"M";22;"junior";"A";224604;1456465;8930;1,19318181818182;108
8327;"M";19;"junior";"C";247728;728671;12541;1,48275862068966;167
8492;"F";43;"classic";"C";85860;336327;8507;1,10778443113772;132
8533;"F";46;"classic";"C";174048;597360;9538;1,19867549668874;111
8547;"F";53;"classic";"C";173016;272853;10045;1,20422535211268;135
8625;"M";27;"classic";"A";47304;599117;9624;1,44375;145
8931;"M";51;"classic";"C";186300;1395454;8288;1,19261213720317;110
9093;"M";45;"classic";"C";189300;519634;8757;1,16863905325444;96
9235;"F";57;"classic";"C";83280;382917;9065;1,2085201793722;123
9265;"F";18;"junior";"A";39576;765286;9272;1,15;118
9337;"F";39;"classic";"A";52128;405049;9622;1,31111111111111;154
9377;"F";32;"classic";"C";99936;743518;12541;1,48275862068966;167
9422;"F";58;"classic";"A";86184;1133870;10177;1,16892911010558;81
9491;"M";18;"junior";"C";225504;1137071;9920;1,26991150442478;130
9504;"M";49;"classic";"C";341280;980514;8899;1,17109144542773;149
9790;"M";55;"classic";"C";133968;1431817;8363;1,38492063492063;108
9814;"F";26;"gold";"A";96168;1268904;9624;1,44375;145
9859;"F";34;"classic";"C";300600;777167;8561;1,98461538461538;110
9869;"M";18;"junior";"C";331560;573874;8507;1,10778443113772;132
10022;"F";54;"classic";"C";218064;727678;12541;1,48275862068966;167
10065;"F";52;"classic";"C";311232;1588943;8369;1,2431289640592;107
10079;"F";28;"classic";"C";167100;888741;8544;1,44186046511628;109
10243;"M";42;"classic";"C";113436;1791144;8254;1,34767025089606;97
10280;"F";36;"classic";"C";348120;870967;8173;NA;124
10297;"M";45;"classic";"C";421008;639432;10045;1,20422535211268;135
10361;"F";58;"classic";"A";86880;1138138;9104;1,37086092715232;123
10404;"M";29;"classic";"C";194280;633516;12541;1,48275862068966;167
10411;"M";34;"gold";"A";123408;933095;10446;1,28065395095368;90
10439;"M";45;"gold";"A";151560;977127;8512;1,17378917378917;102
10445;"M";43;"classic";"C";23412;615232;8994;1,26052631578947;110
10520;"M";28;"gold";"C";417600;386245;8743;1,29255319148936;111
10613;"M";33;"classic";"C";249792;888757;8743;1,29255319148936;111
10644;"F";19;"junior";"C";269964;1144718;8427;1,375;107
10650;"M";48;"gold";"C";196224;1294798;8369;1,2431289640592;107
10663;"M";22;"classic";"A";260028;1127853;9622;1,31111111111111;154
10679;"F";36;"classic";"C";197808;1276819;12541;1,48275862068966;167
10738;"M";61;"classic";"A";115992;1593326;8930;1,19318181818182;108
10905;"M";40;"classic";"C";57120;281496;9272;1,15;118
10954;"M";38;"classic";"C";18720;325561;8554;1,08502024291498;113
11013;"M";20;"junior";"A";274740;1080258;8288;1,19261213720317;110
11042;"M";24;"classic";"A";217152;939462;8994;1,26052631578947;110
11079;"M";28;"classic";"A";98304;1245237;8427;1,375;107
11138;"M";35;"classic";"A";89880;1506800;10177;1,16892911010558;81
11141;"F";22;"classic";"A";44940;964011;12541;1,48275862068966;167
11186;"F";18;"junior";"C";392460;1093597;8754;1,12532637075718;137
11359;"M";30;"classic";"A";54024;670859;8814;1,20588235294118;107
