Soma de pop;;year;;;;;;;;;;;
country;continent;1952;1957;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007
Afghanistan;Asia;8.425.333;9.240.934;10.267.083;11.537.966;13.079.460;14.880.372;12.881.816;13.867.957;16.317.921;22.227.415;25.268.405;31.889.923
Albania;Europe;1.282.697;1.476.505;1.728.137;1.984.060;2.263.554;2.509.048;2.780.097;3.075.321;3.326.498;3.428.038;3.508.512;3.600.523
Algeria;Africa;9.279.525;10.270.856;11.000.948;12.760.499;14.760.787;17.152.804;20.033.753;23.254.956;26.298.373;29.072.015;31.287.142;33.333.216
Angola;Africa;4.232.095;4.561.361;4.826.015;5.247.469;5.894.858;6.162.675;7.016.384;7.874.230;8.735.988;9.875.024;10.866.106;12.420.476
Argentina;Americas;17.876.956;19.610.538;21.283.783;22.934.225;24.779.799;26.983.828;29.341.374;31.620.918;33.958.947;36.203.463;38.331.121;40.301.927
Australia;Oceania;8.691.212;9.712.569;10.794.968;11.872.264;13.177.000;14.074.100;15.184.200;16.257.249;17.481.977;18.565.243;19.546.792;20.434.176
Austria;Europe;6.927.772;6.965.860;7.129.864;7.376.998;7.544.201;7.568.430;7.574.613;7.578.903;7.914.969;8.069.876;8.148.312;8.199.783
Bahrain;Asia;120.447;138.655;171.863;202.182;230.800;297.410;377.967;454.612;529.491;598.561;656.397;708.573
Bangladesh;Asia;46.886.859;51.365.468;56.839.289;62.821.884;70.759.295;80.428.306;93.074.406;103.764.241;113.704.579;123.315.288;135.656.790;150.448.339
Belgium;Europe;8.730.405;8.989.111;9.218.400;9.556.500;9.709.100;9.821.800;9.856.303;9.870.200;10.045.622;10.199.787;10.311.970;10.392.226
Benin;Africa;1.738.315;1.925.173;2.151.895;2.427.334;2.761.407;3.168.267;3.641.603;4.243.788;4.981.671;6.066.080;7.026.113;8.078.314
Bolivia;Americas;2.883.315;3.211.738;3.593.918;4.040.665;4.565.872;5.079.716;5.642.224;6.156.369;6.893.451;7.693.188;8.445.134;9.119.152
Bosnia and Herzegovina;Europe;2.791.000;3.076.000;3.349.000;3.585.000;3.819.000;4.086.000;4.172.693;4.338.977;4.256.013;3.607.000;4.165.416;4.552.198
Botswana;Africa;442.308;474.639;512.764;553.541;619.351;781.472;970.347;1.151.184;1.342.614;1.536.536;1.630.347;1.639.131
Brazil;Americas;56.602.560;65.551.171;76.039.390;88.049.823;100.840.058;114.313.951;128.962.939;142.938.076;155.975.974;168.546.719;179.914.212;190.010.647
Bulgaria;Europe;7.274.900;7.651.254;8.012.946;8.310.226;8.576.200;8.797.022;8.892.098;8.971.958;8.658.506;8.066.057;7.661.799;7.322.858
Burkina Faso;Africa;4.469.979;4.713.416;4.919.632;5.127.935;5.433.886;5.889.574;6.634.596;7.586.551;8.878.303;10.352.843;12.251.209;14.326.203
Burundi;Africa;2.445.618;2.667.518;2.961.915;3.330.989;3.529.983;3.834.415;4.580.410;5.126.023;5.809.236;6.121.610;7.021.078;8.390.505
Cambodia;Asia;4.693.836;5.322.536;6.083.619;6.960.067;7.450.606;6.978.607;7.272.485;8.371.791;10.150.094;11.782.962;12.926.707;14.131.858
Cameroon;Africa;5.009.067;5.359.923;5.793.633;6.335.506;7.021.028;7.959.865;9.250.831;10.780.667;12.467.171;14.195.809;15.929.988;17.696.293
Canada;Americas;14.785.584;17.010.154;18.985.849;20.819.767;22.284.500;23.796.400;25.201.900;26.549.700;28.523.502;30.305.843;31.902.268;33.390.141
Central African Republic;Africa;1.291.695;1.392.284;1.523.478;1.733.638;1.927.260;2.167.533;2.476.971;2.840.009;3.265.124;3.696.513;4.048.013;4.369.038
Chad;Africa;2.682.462;2.894.855;3.150.417;3.495.967;3.899.068;4.388.260;4.875.118;5.498.955;6.429.417;7.562.011;8.835.739;10.238.807
Chile;Americas;6.377.619;7.048.426;7.961.258;8.858.908;9.717.524;10.599.793;11.487.112;12.463.354;13.572.994;14.599.929;15.497.046;16.284.741
China;Asia;556.263.527;637.408.000;665.770.000;754.550.000;862.030.000;943.455.000;1.000.281.000;1.084.035.000;1.164.970.000;1.230.075.000;1.280.400.000;1.318.683.096
Colombia;Americas;12.350.771;14.485.993;17.009.885;19.764.027;22.542.890;25.094.412;27.764.644;30.964.245;34.202.721;37.657.830;41.008.227;44.227.550
Comoros;Africa;153.936;170.928;191.689;217.378;250.027;304.739;348.643;395.114;454.429;527.982;614.382;710.960
Congo, Dem. Rep.;Africa;14.100.005;15.577.932;17.486.434;19.941.073;23.007.669;26.480.870;30.646.495;35.481.645;41.672.143;47.798.986;55.379.852;64.606.759
Congo, Rep.;Africa;854.885;940.458;1.047.924;1.179.760;1.340.458;1.536.769;1.774.735;2.064.095;2.409.073;2.800.947;3.328.795;3.800.610
Costa Rica;Americas;926.317;1.112.300;1.345.187;1.588.717;1.834.796;2.108.457;2.424.367;2.799.811;3.173.216;3.518.107;3.834.934;4.133.884
Cote d'Ivoire;Africa;2.977.019;3.300.000;3.832.408;4.744.870;6.071.696;7.459.574;9.025.951;10.761.098;12.772.596;14.625.967;16.252.726;18.013.409
Croatia;Europe;3.882.229;3.991.242;4.076.557;4.174.366;4.225.310;4.318.673;4.413.368;4.484.310;4.494.013;4.444.595;4.481.020;4.493.312
Cuba;Americas;6.007.797;6.640.752;7.254.373;8.139.332;8.831.348;9.537.988;9.789.224;10.239.839;10.723.260;10.983.007;11.226.999;11.416.987
Czech Republic;Europe;9.125.183;9.513.758;9.620.282;9.835.109;9.862.158;10.161.915;10.303.704;10.311.597;10.315.702;10.300.707;10.256.295;10.228.744
Denmark;Europe;4.334.000;4.487.831;4.646.899;4.838.800;4.991.596;5.088.419;5.117.810;5.127.024;5.171.393;5.283.663;5.374.693;5.468.120
Djibouti;Africa;63.149;71.851;89.898;127.617;178.848;228.694;305.991;311.025;384.156;417.908;447.416;496.374
Dominican Republic;Americas;2.491.346;2.923.186;3.453.434;4.049.146;4.671.329;5.302.800;5.968.349;6.655.297;7.351.181;7.992.357;8.650.322;9.319.622
Ecuador;Americas;3.548.753;4.058.385;4.681.707;5.432.424;6.298.651;7.278.866;8.365.850;9.545.158;10.748.394;11.911.819;12.921.234;13.755.680
Egypt;Africa;22.223.309;25.009.741;28.173.309;31.681.188;34.807.417;38.783.863;45.681.811;52.799.062;59.402.198;66.134.291;73.312.559;80.264.543
El Salvador;Americas;2.042.865;2.355.805;2.747.687;3.232.927;3.790.903;4.282.586;4.474.873;4.842.194;5.274.649;5.783.439;6.353.681;6.939.688
Equatorial Guinea;Africa;216.964;232.922;249.220;259.864;277.603;192.675;285.483;341.244;387.838;439.971;495.627;551.201
Eritrea;Africa;1.438.760;1.542.611;1.666.618;1.820.319;2.260.187;2.512.642;2.637.297;2.915.959;3.668.440;4.058.319;4.414.865;4.906.585
Ethiopia;Africa;20.860.941;22.815.614;25.145.372;27.860.297;30.770.372;34.617.799;38.111.756;42.999.530;52.088.559;59.861.301;67.946.797;76.511.887
Finland;Europe;4.090.500;4.324.000;4.491.443;4.605.744;4.639.657;4.738.902;4.826.933;4.931.729;5.041.039;5.134.406;5.193.039;5.238.460
France;Europe;42.459.667;44.310.863;47.124.000;49.569.000;51.732.000;53.165.019;54.433.565;55.630.100;57.374.179;58.623.428;59.925.035;61.083.916
Gabon;Africa;420.702;434.904;455.661;489.004;537.977;706.367;753.874;880.397;985.739;1.126.189;1.299.304;1.454.867
Gambia;Africa;284.320;323.150;374.020;439.593;517.101;608.274;715.523;848.406;1.025.384;1.235.767;1.457.766;1.688.359
Germany;Europe;69.145.952;71.019.069;73.739.117;76.368.453;78.717.088;78.160.773;78.335.266;77.718.298;80.597.764;82.011.073;82.350.671;82.400.996
Ghana;Africa;5.581.001;6.391.288;7.355.248;8.490.213;9.354.120;10.538.093;11.400.338;14.168.101;16.278.738;18.418.288;20.550.751;22.873.338
Greece;Europe;7.733.250;8.096.218;8.448.233;8.716.441;8.888.628;9.308.479;9.786.480;9.974.490;10.325.429;10.502.372;10.603.863;10.706.290
Guatemala;Americas;3.146.381;3.640.876;4.208.858;4.690.773;5.149.581;5.703.430;6.395.630;7.326.406;8.486.949;9.803.875;11.178.650;12.572.928
Guinea;Africa;2.664.249;2.876.726;3.140.003;3.451.418;3.811.387;4.227.026;4.710.497;5.650.262;6.990.574;8.048.834;8.807.818;9.947.814
Guinea-Bissau;Africa;580.653;601.095;627.820;601.287;625.361;745.228;825.987;927.524;1.050.938;1.193.708;1.332.459;1.472.041
Haiti;Americas;3.201.488;3.507.701;3.880.130;4.318.137;4.698.301;4.908.554;5.198.399;5.756.203;6.326.682;6.913.545;7.607.651;8.502.814
Honduras;Americas;1.517.453;1.770.390;2.090.162;2.500.689;2.965.146;3.055.235;3.669.448;4.372.203;5.077.347;5.867.957;6.677.328;7.483.763
Hong Kong, China;Asia;2.125.900;2.736.300;3.305.200;3.722.800;4.115.700;4.583.700;5.264.500;5.584.510;5.829.696;6.495.918;6.762.476;6.980.412
Hungary;Europe;9.504.000;9.839.000;10.063.000;10.223.422;10.394.091;10.637.171;10.705.535;10.612.740;10.348.684;10.244.684;10.083.313;9.956.108
Iceland;Europe;147.962;165.110;182.053;198.676;209.275;221.823;233.997;244.676;259.012;271.192;288.030;301.931
India;Asia;372.000.000;409.000.000;454.000.000;506.000.000;567.000.000;634.000.000;708.000.000;788.000.000;872.000.000;959.000.000;1.034.172.547;1.110.396.331
Indonesia;Asia;82.052.000;90.124.000;99.028.000;109.343.000;121.282.000;136.725.000;153.343.000;169.276.000;184.816.000;199.278.000;211.060.000;223.547.000
Iran;Asia;17.272.000;19.792.000;22.874.000;26.538.000;30.614.000;35.480.679;43.072.751;51.889.696;60.397.973;63.327.987;66.907.826;69.453.570
Iraq;Asia;5.441.766;6.248.643;7.240.260;8.519.282;10.061.506;11.882.916;14.173.318;16.543.189;17.861.905;20.775.703;24.001.816;27.499.638
Ireland;Europe;2.952.156;2.878.220;2.830.000;2.900.100;3.024.400;3.271.900;3.480.000;3.539.900;3.557.761;3.667.233;3.879.155;4.109.086
Israel;Asia;1.620.914;1.944.401;2.310.904;2.693.585;3.095.893;3.495.918;3.858.421;4.203.148;4.936.550;5.531.387;6.029.529;6.426.679
Italy;Europe;47.666.000;49.182.000;50.843.200;52.667.100;54.365.564;56.059.245;56.535.636;56.729.703;56.840.847;57.479.469;57.926.999;58.147.733
Jamaica;Americas;1.426.095;1.535.090;1.665.128;1.861.096;1.997.616;2.156.814;2.298.309;2.326.606;2.378.618;2.531.311;2.664.659;2.780.132
Japan;Asia;86.459.025;91.563.009;95.831.757;100.825.279;107.188.273;113.872.473;118.454.974;122.091.325;124.329.269;125.956.499;127.065.841;127.467.972
Jordan;Asia;607.914;746.559;933.559;1.255.058;1.613.551;1.937.652;2.347.031;2.820.042;3.867.409;4.526.235;5.307.470;6.053.193
Kenya;Africa;6.464.046;7.454.779;8.678.557;10.191.512;12.044.785;14.500.404;17.661.452;21.198.082;25.020.539;28.263.827;31.386.842;35.610.177
Korea, Dem. Rep.;Asia;8.865.488;9.411.381;10.917.494;12.617.009;14.781.241;16.325.320;17.647.518;19.067.554;20.711.375;21.585.105;22.215.365;23.301.725
Korea, Rep.;Asia;20.947.571;22.611.552;26.420.307;30.131.000;33.505.000;36.436.000;39.326.000;41.622.000;43.805.450;46.173.816;47.969.150;49.044.790
Kuwait;Asia;160.000;212.846;358.266;575.003;841.934;1.140.357;1.497.494;1.891.487;1.418.095;1.765.345;2.111.561;2.505.559
Lebanon;Asia;1.439.529;1.647.412;1.886.848;2.186.894;2.680.018;3.115.787;3.086.876;3.089.353;3.219.994;3.430.388;3.677.780;3.921.278
Lesotho;Africa;748.747;813.338;893.143;996.380;1.116.779;1.251.524;1.411.807;1.599.200;1.803.195;1.982.823;2.046.772;2.012.649
Liberia;Africa;863.308;975.950;1.112.796;1.279.406;1.482.628;1.703.617;1.956.875;2.269.414;1.912.974;2.200.725;2.814.651;3.193.942
Libya;Africa;1.019.729;1.201.578;1.441.863;1.759.224;2.183.877;2.721.783;3.344.074;3.799.845;4.364.501;4.759.670;5.368.585;6.036.914
Madagascar;Africa;4.762.912;5.181.679;5.703.324;6.334.556;7.082.430;8.007.166;9.171.477;10.568.642;12.210.395;14.165.114;16.473.477;19.167.654
Malawi;Africa;2.917.802;3.221.238;3.628.608;4.147.252;4.730.997;5.637.246;6.502.825;7.824.747;10.014.249;10.419.991;11.824.495;13.327.079
Malaysia;Asia;6.748.378;7.739.235;8.906.385;10.154.878;11.441.462;12.845.381;14.441.916;16.331.785;18.319.502;20.476.091;22.662.365;24.821.286
Mali;Africa;3.838.168;4.241.884;4.690.372;5.212.416;5.828.158;6.491.649;6.998.256;7.634.008;8.416.215;9.384.984;10.580.176;12.031.795
Mauritania;Africa;1.022.556;1.076.852;1.146.757;1.230.542;1.332.786;1.456.688;1.622.136;1.841.240;2.119.465;2.444.741;2.828.858;3.270.065
Mauritius;Africa;516.556;609.816;701.016;789.309;851.334;913.025;992.040;1.042.663;1.096.202;1.149.818;1.200.206;1.250.882
Mexico;Americas;30.144.317;35.015.548;41.121.485;47.995.559;55.984.294;63.759.976;71.640.904;80.122.492;88.111.030;95.895.146;102.479.927;108.700.891
Mongolia;Asia;800.663;882.134;1.010.280;1.149.500;1.320.500;1.528.000;1.756.032;2.015.133;2.312.802;2.494.803;2.674.234;2.874.127
Montenegro;Europe;413.834;442.829;474.528;501.035;527.678;560.073;562.548;569.473;621.621;692.651;720.230;684.736
Morocco;Africa;9.939.217;11.406.350;13.056.604;14.770.296;16.660.670;18.396.941;20.198.730;22.987.397;25.798.239;28.529.501;31.167.783;33.757.175
Mozambique;Africa;6.446.316;7.038.035;7.788.944;8.680.909;9.809.596;11.127.868;12.587.223;12.891.952;13.160.731;16.603.334;18.473.780;19.951.656
Myanmar;Asia;20.092.996;21.731.844;23.634.436;25.870.271;28.466.390;31.528.087;34.680.442;38.028.578;40.546.538;43.247.867;45.598.081;47.761.980
Namibia;Africa;485.831;548.080;621.392;706.640;821.782;977.026;1.099.010;1.278.184;1.554.253;1.774.766;1.972.153;2.055.080
Nepal;Asia;9.182.536;9.682.338;10.332.057;11.261.690;12.412.593;13.933.198;15.796.314;17.917.180;20.326.209;23.001.113;25.873.917;28.901.790
Netherlands;Europe;10.381.988;11.026.383;11.805.689;12.596.822;13.329.874;13.852.989;14.310.401;14.665.278;15.174.244;15.604.464;16.122.830;16.570.613
New Zealand;Oceania;1.994.794;2.229.407;2.488.550;2.728.150;2.929.100;3.164.900;3.210.650;3.317.166;3.437.674;3.676.187;3.908.037;4.115.771
Nicaragua;Americas;1.165.790;1.358.828;1.590.597;1.865.490;2.182.908;2.554.598;2.979.423;3.344.353;4.017.939;4.609.572;5.146.848;5.675.356
Niger;Africa;3.379.468;3.692.184;4.076.008;4.534.062;5.060.262;5.682.086;6.437.188;7.332.638;8.392.818;9.666.252;11.140.655;12.894.865
Nigeria;Africa;33.119.096;37.173.340;41.871.351;47.287.752;53.740.085;62.209.173;73.039.376;81.551.520;93.364.244;106.207.839;119.901.274;135.031.164
Norway;Europe;3.327.728;3.491.938;3.638.919;3.786.019;3.933.004;4.043.205;4.114.787;4.186.147;4.286.357;4.405.672;4.535.591;4.627.926
Oman;Asia;507.833;561.977;628.164;714.775;829.050;1.004.533;1.301.048;1.593.882;1.915.208;2.283.635;2.713.462;3.204.897
Pakistan;Asia;41.346.560;46.679.944;53.100.671;60.641.899;69.325.921;78.152.686;91.462.088;105.186.881;120.065.004;135.564.834;153.403.524;169.270.617
Panama;Americas;940.080;1.063.506;1.215.725;1.405.486;1.616.384;1.839.782;2.036.305;2.253.639;2.484.997;2.734.531;2.990.875;3.242.173
Paraguay;Americas;1.555.876;1.770.902;2.009.813;2.287.985;2.614.104;2.984.494;3.366.439;3.886.512;4.483.945;5.154.123;5.884.491;6.667.147
Peru;Americas;8.025.700;9.146.100;10.516.500;12.132.200;13.954.700;15.990.099;18.125.129;20.195.924;22.430.449;24.748.122;26.769.436;28.674.757
Philippines;Asia;22.438.691;26.072.194;30.325.264;35.356.600;40.850.141;46.850.962;53.456.774;60.017.788;67.185.766;75.012.988;82.995.088;91.077.287
Poland;Europe;25.730.551;28.235.346;30.329.617;31.785.378;33.039.545;34.621.254;36.227.381;37.740.710;38.370.697;38.654.957;38.625.976;38.518.241
Portugal;Europe;8.526.050;8.817.650;9.019.800;9.103.000;8.970.450;9.662.600;9.859.650;9.915.289;9.927.680;10.156.415;10.433.867;10.642.836
Puerto Rico;Americas;2.227.000;2.260.000;2.448.046;2.648.961;2.847.132;3.080.828;3.279.001;3.444.468;3.585.176;3.759.430;3.859.606;3.942.491
Reunion;Africa;257.700;308.700;358.900;414.024;461.633;492.095;517.810;562.035;622.191;684.810;743.981;798.094
Romania;Europe;16.630.000;17.829.327;18.680.721;19.284.814;20.662.648;21.658.597;22.356.726;22.686.371;22.797.027;22.562.458;22.404.337;22.276.056
Rwanda;Africa;2.534.927;2.822.082;3.051.242;3.451.079;3.992.121;4.657.072;5.507.565;6.349.365;7.290.203;7.212.583;7.852.401;8.860.588
Sao Tome and Principe;Africa;60.011;61.325;65.345;70.787;76.595;86.796;98.593;110.812;125.911;145.608;170.372;199.579
Saudi Arabia;Asia;4.005.677;4.419.650;4.943.029;5.618.198;6.472.756;8.128.505;11.254.672;14.619.745;16.945.857;21.229.759;24.501.530;27.601.038
Senegal;Africa;2.755.589;3.054.547;3.430.243;3.965.841;4.588.696;5.260.855;6.147.783;7.171.347;8.307.920;9.535.314;10.870.037;12.267.493
Serbia;Europe;6.860.147;7.271.135;7.616.060;7.971.222;8.313.288;8.686.367;9.032.824;9.230.783;9.826.397;10.336.594;10.111.559;10.150.265
Sierra Leone;Africa;2.143.249;2.295.678;2.467.895;2.662.190;2.879.013;3.140.897;3.464.522;3.868.905;4.260.884;4.578.212;5.359.092;6.144.562
Singapore;Asia;1.127.000;1.445.929;1.750.200;1.977.600;2.152.400;2.325.300;2.651.869;2.794.552;3.235.865;3.802.309;4.197.776;4.553.009
Slovak Republic;Europe;3.558.137;3.844.277;4.237.384;4.442.238;4.593.433;4.827.803;5.048.043;5.199.318;5.302.888;5.383.010;5.410.052;5.447.502
Slovenia;Europe;1.489.518;1.533.070;1.582.962;1.646.912;1.694.510;1.746.919;1.861.252;1.945.870;1.999.210;2.011.612;2.011.497;2.009.245
Somalia;Africa;2.526.994;2.780.415;3.080.153;3.428.839;3.840.161;4.353.666;5.828.892;6.921.858;6.099.799;6.633.514;7.753.310;9.118.773
South Africa;Africa;14.264.935;16.151.549;18.356.657;20.997.321;23.935.810;27.129.932;31.140.029;35.933.379;39.964.159;42.835.005;44.433.622;43.997.828
Spain;Europe;28.549.870;29.841.614;31.158.061;32.850.275;34.513.161;36.439.000;37.983.310;38.880.702;39.549.438;39.855.442;40.152.517;40.448.191
Sri Lanka;Asia;7.982.342;9.128.546;10.421.936;11.737.396;13.016.733;14.116.836;15.410.151;16.495.304;17.587.060;18.698.655;19.576.783;20.378.239
Sudan;Africa;8.504.667;9.753.392;11.183.227;12.716.129;14.597.019;17.104.986;20.367.053;24.725.960;28.227.588;32.160.729;37.090.298;42.292.929
Swaziland;Africa;290.243;326.741;370.006;420.690;480.105;551.425;649.901;779.348;962.344;1.054.486;1.130.269;1.133.066
Sweden;Europe;7.124.673;7.363.802;7.561.588;7.867.931;8.122.293;8.251.648;8.325.260;8.421.403;8.718.867;8.897.619;8.954.175;9.031.088
Switzerland;Europe;4.815.000;5.126.000;5.666.000;6.063.000;6.401.400;6.316.424;6.468.126;6.649.942;6.995.447;7.193.761;7.361.757;7.554.661
Syria;Asia;3.661.549;4.149.908;4.834.621;5.680.812;6.701.172;7.932.503;9.410.494;11.242.847;13.219.062;15.081.016;17.155.814;19.314.747
Taiwan;Asia;8.550.362;10.164.215;11.918.938;13.648.692;15.226.039;16.785.196;18.501.390;19.757.799;20.686.918;21.628.605;22.454.239;23.174.294
Tanzania;Africa;8.322.925;9.452.826;10.863.958;12.607.312;14.706.593;17.129.565;19.844.382;23.040.630;26.605.473;30.686.889;34.593.779;38.139.640
Thailand;Asia;21.289.402;25.041.917;29.263.397;34.024.249;39.276.153;44.148.285;48.827.160;52.910.342;56.667.095;60.216.677;62.806.748;65.068.149
Togo;Africa;1.219.113;1.357.445;1.528.098;1.735.550;2.056.351;2.308.582;2.644.765;3.154.264;3.747.553;4.320.890;4.977.378;5.701.579
Trinidad and Tobago;Americas;662.850;764.900;887.498;960.155;975.199;1.039.009;1.116.479;1.191.336;1.183.669;1.138.101;1.101.832;1.056.608
Tunisia;Africa;3.647.735;3.950.849;4.286.552;4.786.986;5.303.507;6.005.061;6.734.098;7.724.976;8.523.077;9.231.669;9.770.575;10.276.158
Turkey;Europe;22.235.677;25.670.939;29.788.695;33.411.317;37.492.953;42.404.033;47.328.791;52.881.328;58.179.144;63.047.647;67.308.928;71.158.647
Uganda;Africa;5.824.797;6.675.501;7.688.797;8.900.294;10.190.285;11.457.758;12.939.400;15.283.050;18.252.190;21.210.254;24.739.869;29.170.398
United Kingdom;Europe;50.430.000;51.430.000;53.292.000;54.959.000;56.079.000;56.179.000;56.339.704;56.981.620;57.866.349;58.808.266;59.912.431;60.776.238
United States;Americas;157.553.000;171.984.000;186.538.000;198.712.000;209.896.000;220.239.000;232.187.835;242.803.533;256.894.189;272.911.760;287.675.526;301.139.947
Uruguay;Americas;2.252.965;2.424.959;2.598.466;2.748.579;2.829.526;2.873.520;2.953.997;3.045.153;3.149.262;3.262.838;3.363.085;3.447.496
Venezuela;Americas;5.439.568;6.702.668;8.143.375;9.709.552;11.515.649;13.503.563;15.620.766;17.910.182;20.265.563;22.374.398;24.287.670;26.084.662
Vietnam;Asia;26.246.839;28.998.543;33.796.140;39.463.910;44.655.014;50.533.506;56.142.181;62.826.491;69.940.728;76.048.996;80.908.147;85.262.356
West Bank and Gaza;Asia;1.030.585;1.070.439;1.133.134;1.142.636;1.089.572;1.261.091;1.425.876;1.691.210;2.104.779;2.826.046;3.389.578;4.018.332
Yemen, Rep.;Asia;4.963.829;5.498.090;6.120.081;6.740.785;7.407.075;8.403.990;9.657.618;11.219.340;13.367.997;15.826.497;18.701.257;22.211.743
Zambia;Africa;2.672.000;3.016.000;3.421.000;3.900.000;4.506.497;5.216.550;6.100.407;7.272.406;8.381.163;9.417.789;10.595.811;11.746.035
Zimbabwe;Africa;3.080.907;3.646.340;4.277.736;4.995.432;5.861.135;6.642.107;7.636.524;9.216.418;10.704.340;11.404.948;11.926.563;12.311.143
